Treatment,SPL,Site
Pre Lockdown,116.034861,ST3TM
Pre Lockdown,115.4303471,ST3TM
Pre Lockdown,116.2088112,ST3TM
Pre Lockdown,120.6629527,ST3TM
Pre Lockdown,119.4386104,ST3TM
Pre Lockdown,116.6192483,ST3TM
Pre Lockdown,120.3810677,ST3TM
Pre Lockdown,115.8294077,ST3TM
Pre Lockdown,119.2498143,ST3TM
Pre Lockdown,119.8847727,ST3TM
Pre Lockdown,118.68077,ST3TM
Post Lockdown,112.8571102,ST3TM
Post Lockdown,113.1362626,ST3TM
Post Lockdown,112.2933631,ST3TM
Post Lockdown,110.7174005,ST3TM
Post Lockdown,111.1825294,ST3TM
Post Lockdown,111.1198646,ST3TM
Post Lockdown,112.5051742,ST3TM
Post Lockdown,110.6843236,ST3TM
Post Lockdown,118.3926907,ST3TM
Post Lockdown,112.4384411,ST3TM
Post Lockdown,113.1398392,ST3TM
Post Lockdown,112.5476144,ST3TM
Post Lockdown,113.6498842,ST3TM
Post Lockdown,113.4056989,ST3TM
Post Lockdown,110.6727287,ST3TM
Post Lockdown,112.5734585,ST3TM
Post Lockdown,112.3889295,ST3TM
Post Lockdown,111.7044603,ST3TM
Post Lockdown,111.6389789,ST3TM
Post Lockdown,113.0907886,ST3TM
Post Lockdown,116.782119,ST3TM
Post Lockdown,119.5143531,ST3TM
Post Lockdown,117.0278601,ST3TM
Post Lockdown,114.2812531,ST3TM
Post Lockdown,115.5662851,ST3TM
Post Lockdown,116.1144194,ST3TM
Post Lockdown,113.4406834,ST3TM
Post Lockdown,111.5220046,ST3TM
Post Lockdown,111.651406,ST3TM
Post Lockdown,110.5876508,ST3TM
Post Lockdown,112.7533156,ST3TM
Post Lockdown,112.1974128,ST3TM
Post Lockdown,112.5210577,ST3TM
Post Lockdown,117.1036419,ST3TM
Post Lockdown,113.854584,ST3TM
Post Lockdown,112.4061893,ST3TM
Post Lockdown,112.4453567,ST3TM
Post Lockdown,112.4807734,ST3TM
Post Lockdown,112.4189939,ST3TM
Post Lockdown,112.3432409,ST3TM
Post Lockdown,110.5921072,ST3TM
Post Lockdown,111.575619,ST3TM
Post Lockdown,118.7567509,ST3TM
Post Lockdown,113.1557854,ST3TM
Post Lockdown,112.5768858,ST3TM
Post Lockdown,112.3465773,ST3TM
Post Lockdown,112.3932889,ST3TM
Post Lockdown,111.3227948,ST3TM
Post Lockdown,113.1370213,ST3TM
Post Lockdown,110.9873279,ST3TM
Post Lockdown,110.6812819,ST3TM
Post Lockdown,109.7902005,ST3TM
Post Lockdown,109.4576863,ST3TM
Post Lockdown,111.3957446,ST3TM
Post Lockdown,117.7328901,ST3TM
