county_code,pre.pan,pan,est,error,t.stat,p.value,degrees.freedom,skewness,country_code,state_code,lat,lon,area_developed,area_undeveloped,delta_traffic,c_delta_traffic,confident
US-AZ-013,32.516,19.225,-13.291,28.004,-0.475,0.639,29,2.656062052812333,US,US-AZ,33.27931255,-112.2462953,2858625000,21032010000,-12.315217391304348,1.7418382913806258,no
US-AZ-019,92.823,76.276,-16.547,39.627,-0.418,0.679,29,2.1173713119093813,US,US-AZ,32.000186,-111.8685162,914814900,22947490000,-11.25,2.8070556826849735,no
US-CA-001,-2.7,-0.701,1.999,13.574,0.147,0.884,40,2.1291982358181096,US,US-CA,37.6844805,-121.9100846,639103500,1296018300,-20.42391304347826,-6.366857360793288,no
US-CA-037,17.944,0.779,-17.165,8.487,-2.022,0.049,43,1.186544033519497,US,US-CA,33.8123573,-118.2977847,3453578000,7130562800,-16.83695652173913,-2.7799008390541555,yes
US-CA-065,59.266,80.863,21.597,27.631,0.782,0.439,39,2.9047757989513645,US,US-CA,33.73175925,-116.0689749,1794583000,17148740000,-13.282608695652174,0.7744469870327997,no
US-CA-071,30.413,24.581,-5.833,13.541,-0.431,0.669,36,2.645026436535666,US,US-CA,34.833211,-115.9608027,1962851000,50141630000,-12.706521739130435,1.350533943554538,no
US-CA-073,16.686,50.031,33.345,17.81,1.872,0.069,38,1.4407047138529316,US,US-CA,32.9878467,-116.8466082,1999422000,9021749900,-16.804347826086957,-2.7472921434019835,no
US-CA-075,21.563,22.735,1.173,9.849,0.119,0.906,35,1.0422690680024422,US,US-CA,37.79009875,-122.6558471,113481900,12260700,-25.391304347826086,-11.334248665141113,no
US-CA-085,18.833,1.534,-17.299,14.024,-1.234,0.224,43,1.7965606679046184,US,US-CA,37.1899274,-121.704306,827920800,2521546500,-23.434782608695652,-9.377726926010679,no
US-CO-031,-13.31,-14.345,-1.036,9.883,-0.105,0.917,43,1.5347172763612504,US,US-CO,39.76012745,-104.8563634,316713600,86472900,-15.826086956521738,-1.7690312738367648,no
US-FL-009,-9.695,71.445,81.14,24.481,3.314,0.002,38,2.7332130647508293,US,US-FL,28.30610345,-80.31806445,699705900,2051919700,-10.847826086956522,3.209229595728452,yes
US-FL-011,-5.834,-16.558,-10.724,13.863,-0.774,0.445,32,2.0992845883631466,US,US-FL,26.1457885,-80.1961218,927009900,2239765100,-16.869565217391305,-2.812509534706331,no
