id,date,month,lon,lat,g,cov,sex,length,bathy,ground,year
ct105-14f-13,2014-05-21 11:00,05,30.44871884,-66.16263686,0.834497199,non-cov,f,2.32,-4354.234863,0,2014
ct105-14f-13,2014-06-27 11:00,06,19.40493396,-58.72690417,0.535821349,non-cov,f,2.32,-5370.061035,0,2014
ct105-15f-13,2014-03-19 9:00,03,73.16653862,-52.11586051,0.743471533,non-cov,f,2.47,-392.3519897,0,2014
ct105-15f-13,2014-03-18 9:00,03,72.62054564,-52.25917469,0.736576311,non-cov,f,2.47,-383.1112061,0,2014
ct105-15f-13,2014-03-25 9:00,03,79.41965098,-52.4846196,0.755693215,non-cov,f,2.47,-3980.918945,0,2014
ct105-15f-13,2014-04-05 9:00,04,88.4479893,-54.26645825,0.706051842,non-cov,f,2.47,-4632.731934,0,2014
ct105-15f-13,2014-03-28 9:00,03,81.62797567,-52.6824313,0.755059739,non-cov,f,2.47,-3829.790039,0,2014
ct105-15f-13,2014-03-09 9:00,03,72.68115812,-52.34128588,0.695947929,non-cov,f,2.47,-275.052002,0,2014
ct105-15f-13,2014-04-29 9:00,04,96.21192221,-55.50480301,0.632531482,non-cov,f,2.47,-4138.27002,0,2014
ct105-15f-13,2014-03-31 9:00,03,84.89331188,-53.1535297,0.741517105,non-cov,f,2.47,-4557.563965,0,2014
ct105-15f-13,2014-03-30 9:00,03,83.44888337,-53.12986091,0.74833713,non-cov,f,2.47,-4018.705078,0,2014
ct105-15f-13,2014-03-22 9:00,03,76.26181753,-52.44524544,0.757271494,non-cov,f,2.47,-716.2623291,1,2014
ct105-15f-13,2014-04-02 9:00,04,86.97183475,-53.94771345,0.720013211,non-cov,f,2.47,-4640.759766,0,2014
ct105-15f-13,2014-03-17 9:00,03,72.81423061,-52.16832729,0.731614938,non-cov,f,2.47,-394.9869995,0,2014
ct105-15f-13,2014-03-26 9:00,03,80.20240781,-52.52630589,0.75581028,non-cov,f,2.47,-3767.753906,0,2014
