UniqueCode,COUNTY.WEEK,WEEK,County,CountyGeolocation,Country,CountryGeolocation,Population_Estimate,Population_Density,Home,Parks,Work,Retail,Grocery,Transit,SPECIES,SPP.2020.OBSERVATION.COUNT,SPP.2019.OBSERVATION.COUNT,SPP.DIFF.COUNT,SPP.DIFF.DURATION,SPP.DIFF.DISTANCE,2020.DURATION.MINUTES,2020.EFFORT.DISTANCE.KM,2019.DURATION.MINUTES,2019.EFFORT.DISTANCE.KM
Caerphilly 4BlueTit,Caerphilly 4,4,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,21.8,-24.33333333,-50,-61.85714286,-23.28571429,-50.14285714,BlueTit,1.666666667,1,0.67,0.5,0,6,0,5.5,0
Caerphilly 5BlueTit,Caerphilly 5,5,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,25,-34.42857143,-59.57142857,-71.28571429,-30.85714286,-59.57142857,BlueTit,1,1.333333333,-0.33,-0.17,0,4.5,0,4.666666667,0
Caerphilly 6BlueTit,Caerphilly 6,6,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,25.2,-26.33333333,-62.14285714,-67.71428571,-27.28571429,-52,BlueTit,1,1.666666667,-0.67,5.67,0.77,14.33333333,0.765333333,8.666666667,0
Caerphilly 8BlueTit,Caerphilly 8,8,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,23.6,-21.5,-55.57142857,-62.28571429,-25.42857143,-44.57142857,BlueTit,1,1.666666667,-0.67,0.67,0,5,0,4.333333333,0
Caerphilly 9BlueTit,Caerphilly 9,9,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,23.75,-37.25,-56.6,-63.2,-26.8,-48.8,BlueTit,1,1,0,6,0,9,0,3,0
Cambridgeshire 1BlueTit,Cambridgeshire 1,1,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,0.142857143,9,0.571428571,3.714285714,0.714285714,2.714285714,BlueTit,5.632653061,3.038461538,2.59,-2.61,-0.29,50.7755102,1.279918367,53.38461538,1.566692308
Cambridgeshire 2BlueTit,Cambridgeshire 2,2,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,1.571428571,16.71428571,-1.714285714,0,5.285714286,-3.571428571,BlueTit,4.875,5.2,-0.33,-20.25,-0.25,27.6875,1.34525,47.93333333,1.5955
Cambridgeshire 3BlueTit,Cambridgeshire 3,3,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,10.28571429,0.142857143,-23.42857143,-26.14285714,14.28571429,-34.42857143,BlueTit,5.196078431,4.553191489,0.64,37.08,0.69,79.01960784,2.014901961,41.93617021,1.326
Cambridgeshire 4BlueTit,Cambridgeshire 4,4,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,23.14285714,-11.85714286,-57.28571429,-71.14285714,-24,-67,BlueTit,3.904761905,4.416666667,-0.51,28.82,0,72.57142857,1.696269841,43.75,1.6945625
Cambridgeshire 5BlueTit,Cambridgeshire 5,5,Cambridgeshire,"52.389175, 0.008208",England,"52.598877, -1.4668814",651482,213.9,26,-27.85714286,-66.14285714,-79.71428571,-34.71428571,-75.85714286,BlueTit,4.813559322,6.40625,-1.59,4.33,-0.19,68.05084746,1.871898305,63.71875,2.05796875
