abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
7,25,0,0,fh,MF36,PRPG,no,8,50,b,0,0,0,0,0
21,5,0,2,fh,MF37,MP,no,8,92,b,0,0,0,0,0
4,4,0,0,fh,MF38,PRPG,no,8,157,b,2,1,0,0,3
5,0,0,1,fh,MF39,PRPG,no,8,119,b,1,0,0,0,1
33,23,2,1,fh,MF4,ECFS,no,8,183,b,2,1,0,0,3
16,5,0,0,fh,MF40,JB,no,8,105,b,0,0,0,0,0
58,19,0,1,fh,MF41,CCK,no,8,160,b,2,5,0,1,8
0,7,0,1,fh,MF42,CCK,no,8,190,b,2,2,0,0,4
2,9,2,0,fh,MF44,PRPG,no,8,190,b,0,1,0,0,1
11,8,0,0,fh,MF45,WC,no,8,172,b,0,0,0,0,0
0,6,0,0,fh,MF46,SMYT,no,8,30,b,0,1,0,0,1
13,16,0,0,fh,MF47,SMYT,no,8,70,b,2,2,0,0,4
31,13,0,0,fh,MF48,SMYT,no,8,125,b,1,0,2,0,3
23,4,0,0,fh,MF49,NS,no,8,31,b,0,2,0,0,2
6,13,2,0,fh,MF5,ECFS,no,8,211,b,0,0,2,0,2
31,15,0,4,fh,MF50,AMK,no,8,32,b,0,0,0,0,0
6,10,0,2,fh,MF6,AH,no,8,178,b,0,0,0,0,0
5,10,0,5,fh,MF7,AH,no,8,140,b,0,0,0,0,0
0,18,3,0,hc,HC8,ECFS,yes,202,72,p0,5,3,0,1,9
9,28,3,2,hc,HC10,ECFS,yes,202,209,p0,5,2,0,1,8
5,3,0,0,hc,HC23,SMYT,yes,202,175,p0,0,0,0,0,0
70,3,0,2,hc,HC43,WC,yes,202,180,p0,4,0,0,0,4
18,7,0,0,hc,HC44,WC,yes,202,47,p0,3,6,0,0,9
3,8,0,0,hc,HC45,WC,yes,202,180,p0,3,0,1,0,4
0,2,0,0,gs,GS3,SMYT,yes,202,203,p0,0,0,0,0,0
0,4,0,0,gs,GS7,ECFS,yes,202,121,p0,0,0,0,0,0
3,26,0,0,gs,GS9,WC,yes,202,233,p0,0,0,0,1,1
